,text
200,Very good. https://t.co/stp8zUqLex
201,Love you https://t.co/EHQN0FdxnA
202,Yes lovely https://t.co/IoKZ3tQpDJ
203,Black coffee https://t.co/DnP6YqefUi
204,Of course!! My command over the language is so good!! https://t.co/Gi7oLgiwhv
205,Maine bhi suna hai. Tumhein kuch aur khabar mile toh dena... https://t.co/m7y5sEVk39
206,My friend. https://t.co/0WFjM1FLca
207,Salaam https://t.co/qkw4M6ele6
208,Thank u https://t.co/rYOWGsCy3m
209,"If you have Hair like mine, you can’t be any other way... https://t.co/duMrfovusS"
210,Bechara CA akela reh jayega.. https://t.co/NW9Dg6B4ml
211,https://t.co/wzWFiycsLb https://t.co/OqpSNWsYFX
212,Please do well. And don’t use me as a reason for doing well either...study hard that’s all https://t.co/ywaK1eZfII
213,Train your kids the same please... https://t.co/QJ1BpsWbZy
214,"Why hints, you will know the actual film when it gets started. https://t.co/hS5CN2tDQc"
215,Thanks for your concern and inputs. https://t.co/XfLLp9IAio
216,Better than me for sure.. https://t.co/kYu4KoO0b8
217,May she get well soon. https://t.co/N1VqgGEWHC
218,Arre kitna jale pe namak chidhoge!! https://t.co/KOUdo7h4zI
219,Try another channel na!? https://t.co/zxxnkEztQd
220,A girls just gotta be happy.. https://t.co/9eQ8tNtCGZ
221,Thank you https://t.co/PBYXeiACMr
222,So well nuanced. So felt...quietly screaming... https://t.co/21Jzkr19CE
223,Ha ha. Main khud Bollywood hoon! https://t.co/XzfLaLwG0a
224,I really enjoy it actually. https://t.co/8EPGGTlwFx
225,We will..we will https://t.co/YYqWeihWcS
226,I love him. https://t.co/emq18i0xoM
227,I think jumping over a camels back....it broke mine! That was like the ‘last straw’ https://t.co/ICUz1NIvSr
228,Insha Allah will come https://t.co/vrCX99wAeg
229,Pyaar Zindagi Hai... https://t.co/zxOt0xErCB
230,Love to Rhea https://t.co/oAG7LW47Bl
231,Will bring Abram when he is legal age and see you soon. https://t.co/aEkAyxEsrC
232,Thank you saved the pics and will print them out and keep in my room https://t.co/qVHjjSra6d
233,Congratulations. Girls are lovely...Masha Allah https://t.co/7J60WAlTDm
234,Next long outdoor I will try and finish it. https://t.co/y3wcZSXzcI
235,Very enticing offer...ha ha. But why do we have to say bad things to each other....when niceness also costs nothing! https://t.co/MrcKhPdHDs
236,Thank you that’s sweet....Pics do overcome time space and reality. https://t.co/Nc9Hn7vvCt
237,Flourishing... https://t.co/tQprhEPxc9
238,Love to you too NZ https://t.co/xL2yKxwMF6
239,I inspire myself to go to bed in the morning after being awake all night!!! https://t.co/Q3662KAKtr
240,As soon as I get his dates... https://t.co/CgpHvm2yC2
241,The hit kind? Hopefully! https://t.co/25xWfHHZ5N
242,To you too. May you and your family have happiness and health. https://t.co/akCACcVxW8
243,Yeah been a long time. I miss Malaysia too... https://t.co/1jNZrKuDQi
244,Yeah I keep looking younger every year! That’s surprise snuff?! https://t.co/1Eby5v9F81
245,Working on stuff. Will take some time once I get the material right. https://t.co/iTCFqogrkQ
246,Been a long time. If you guys are around let’s do a #AskSRK  should it be ‘an’ Asksrk or ‘a’ is ok?
247,And you please take a good rest.  So that when I come there you can drive me around. @SunilPNarine74 https://t.co/jMFpdt9aCj
248,Whew!! Yeah man! Well done...Now to start playing how we play...well played @TKRiders https://t.co/UXR1QxQ3uZ
249,Now I know where my entrepreneurship drive comes from! Need to learn some moves from this wonderful Business lady.… https://t.co/we0Y3oKw0J
250,"My best wishes to the young Director &amp; her team for...loving the song! 🕺🏻
Presenting the official trailer of… https://t.co/3wBVLl6t1n"
251,Kya baat hai. All the best my friend. All looking and feeling awesome! https://t.co/Eek6DlpslD
